session_id,phonetic_transcription,language_classification
"fn000002","Albanij@ wIl hYlp fAn @ navo teG@ sErfij@ dAt fInd@ w@ trYx  d@ forpaGina vAn d@ xEld@rlAnd@r","NL"
"fn000002","bE+ x@vExt@ mEt f@rzEtstrE+d@rs fAn @t kOsOvob@vrE+dINslef@rleG@r hEt yseka hEb@ sErfis@ enhed@ xIst@r@ og dul@ In Albanij@ b@stokt","NL"
"fn000002","d@ sErfij@s fyrd@ mOrtirGrAnat@ Af Op @n virtAl dOrp@ In Albanij@ AldYs t@ Albanes@ ","NL"
"fn000002","d@ AlbOnes@ r@GerIN heft t@ navo x@vraxt d@ sErfis@ ArtIliristElIN@ an t@ vAl@","NL"
"fn000002","wAt  w@ nOx mer trYx  d@ vorpaGina vAn d@ xEld@rlAnd@r","NL"
"fn000002","dAt fIn@ w@ trYG dYz O d@ vorpaGin@ vAn @ ","NL"
"fn000002","  E w og nOx t@ nE+meG@editsi","NL"
"fn000002","d@ byrt wOrt stap@lGEk fAn kAfe hEt swantj@","NL"
"fn000002","dAt fInd@ w@ dYs trYx Op ti  vAn d@ stAtseditsi","NL"
"fn000002","En d@ milEnijYmYnt","NL"
"fn000002","vE+f  Is vE+f xYld@","NL"
"fn000002","Ond@r d@ dit@l Ond@r d@ Ond@r d@ tit@l hEt @ gwet gala Ov dEnsIN vOnd@ Er wEtstrE+d@ demOnstratsis En vrE+ dAns@ plats","NL"
"fn000002","nA+ dAd Is d@ xEld@rlAnd@r","NL"
"fn000002","E zE+n fAmOG@ vor zev@n yr nOx mer krAnt@ In d@ briv@bYz b@lAnt","NL"
"fn000002"," b@GIn@ m@t trA+","NL"
"fn000002","trA+ st2nt m@nIst@r bOrs fAn hArt@ In har wElhast hop@los@  teG@ d@ r@klam@ vor ","NL"
"fn000002","d@  fInt dAt s@ zek@r mut dorGan Om jON@r@ vAn d@ AlkOl t@ hA+d@","NL"
"fn000002","hEt problem vAn d@ ov@rE+t Iz dAt d@ mId@l@ Om r@klam@mag@rz In @t xArel t@ krE+G@ OnturE+k@nt sE+n","NL"
"fn000002","zElfs @n f@rbOt bit xen sulas","NL"
"fn000002","r@klam@mak@rs plAk@ hYn mEr@gnam@ dAn Op Andr@ Artik@l@ zoAs kledIN En fEstivAls","NL"
"fn000002","En tOx mud  dorGan","NL"
"fn000002","id@ren mut Ed b@drE+fslev@ imAnt m@ imAnt mud @d b@drE+fslef@ mEt d@ n2s Op t@ matsxAp@l@k@ v@rAntworl@khE+t trYk@","NL"
"fn000002","d@ Ams@dAms@ pulitsi heft Op @ heft @n stOp x@zEt Op IntErn@ sOl@sitatsis @ en vAn d@ plitsivAgbOnd@ wIl mEt mer lon for d@ AGEnt@ In d@ sted@ d@ moG@l@k@ kOms fAn @n Y+zEnbyro for EksAGEnt@","NL"
"fn000002","d@ krAnt dENt dAt d@ m@ljun@ di d@ lats@ jar@ In d@ pulidzi zE+N x@stok@ Er nit tu hEb@ x@lE+t dAt @r mer aGEnt@ zE+n","NL"
"fn000002","dI krAnt plE+t vor snEl@ matreG@l@","NL"
"fn000002","vorAN bE+ wonINtuwE+zIN for d@ AGEnt@ In d@ xrot@ sted@ f@bet@rIN vAn @t imaGo lobanb@G@lE+dIN En @ nAtyl@k mut d@ hAnthafIN fAn d@ op@mbAr@ In Ord@ blE+f@ vOlG@s t@ krAnt","NL"
"fn000002"," dAt Az Ys t@ tel@Graf tAN xan w@ tO slOt nOx nar @n @ lats@ krAnt @t AlG@men dAGblAt","NL"
"fn000002","d@ krAnt fInt nam@l@g dAd d@ kOsovar@ jY+st nit  sE+n bE+ @n zwE+G@ vAn d@ wap@ns","NL"
"fn000002","zElfs Al vEr@xt dAt Of@rs En @n lAN@ lAN@ uf@nIN In x@dYlt","NL"
"fn000002","d@ vOlkskrAnt  fAndax xeN kOm@tar zoAs x@wonl@k Ob d@ mandAGmOrG@","NL"
"fn000002"," swEt kOmt @ran En twIst@t","NL"
"fn001035","trA+","NL"
"fn001035","hoftstYk en","NL"
"fn001035","Ik stOnt @rOp dAt @t kOntrAkt OndbOnd@ wErt","NL"
"fn001035","Ik hErIn@r m@ dAt har ton baz@x wAs tun w@ t@ kam@r v@rlit@","NL"
"fn001035","kOm jE+ mar @s me zE+ z@ En z@ lE+d@ m@ mEt har hAnt Op m@ rYx nar ha kam@r Ob d@ erst@ v@rdipIN","NL"
"fn001035","Ik x@horzamd@ zOnd@r teG@spYt@r@ Em proberd@ t@ rad@ wAt s@ Y+tfurd@","NL"
"fn001035","z@ sxof har stul Ond@r @d byro vAndan","NL"
"fn001035","dAt wAs en","NL"
"fn001035","di klONk fel hoG@r En sxErp@r dAn d@ rIts fAn b@vorb@lt har spE+k@bruk","NL"
"fn001035","wAt s@ v@rvOlG@s pAkt@ kOn Ig nit hor@","NL"
"fn001035","dAt wIst Ik sek@r","NL"
"fn001035","nEt so Gut Als @t krAs@ vAn @n pEn Ob dAt ppir","NL"
"fn001035","har niw@ vYlpEn nAtyrl@k","NL"
"fn001035","st sIst@ z@ wAxt nA+ ev@","NL"
"fn001035","And@rs xat @t hel@mal v@kert","NL"
"fn001035"," dIxt vor @t x@vAl Ik In d@ v@rlE+dIN kwAm Om tOx t@ kE+k@","NL"
"fn001035","mE+ zo t@ lat@ wAxt@ En tAn zElf its Y+dbrud@ tar zA+ Ik x@lov Ig nojt an dENk@","NL"
"fn001035","tun Ig mOxt kE+k@ lAx @t fEl pApir Ob m@N knij@","NL"
"fn001035","nina stOnt for m@ En rE+kt@ m@ har vYlpEn an","NL"
"fn001035","rExts Ond@ran mut j@ tek@n@","NL"
"fn001035","z@ nAm @t pApir Y+d mEn hAnd@ En lAs for wAt s@ zojY+st hAt x@sxrev@","NL"
"fn001035","Amst@lfen zEs mart neG@tin Axt@ns2v@nt@x","NL"
"fn001035","En ha d@ wInt@r","NL"
"fn001035","te ha fAn h2st@","NL"
"fn001035","Ik ars@ld@ xen s@kOnd@","NL"
"fv600345","di kOlOn@ zEt sIx Ob dIt E+G@st@ oG@mblIk In b@weGIN","VL"
"fv600345","z@ wOrt forAfx@Gan dor @t kon@Nkl@k EskOrt@ t@ part @t hOnd@rtAl @ rY+t@rs di ny ONG@ver h@t pAlE+z@plE+n Gan v@rlat@n","VL"
"fv600345","dez@ kOlOn@ Iz d@ E+G@l@k@ konINkl@k@ kOlOn@","VL"
"fv600345","dar Iz Ond@r mer d@ Grot@ limuzin@ bE+ warIn d@ konIN heft @ platsx@nom@n In z@n statsiynifOrm vAn Op@rb@vElhEb@r vAn d@ lAntmAxt","VL"
"fv600345","d@ latst@ Grot@ limuzin@ Iz di di G@tojt Is mEt @n Grot@ Grot@ blum@rY+k@r","VL"
"fv600345","En dAt Iz d@ limuzin@ war d@ vad@r vAn d@ brY+t Graf pAtrik dyd@k@m dAko sInts hed@mOrG@ warIn di heft platsx@nom@n mEt nAtyrl@g d@ brY+t prInsEs mAtIld@","VL"
"fv600345","wAnt ok mAtIld@ Is sInts nYl yr sInts mId@rnAxt  tit@l vAn prInsEs x@kreG@n En zE+ v@rtrEk@n ny vAn an @t pAlE+s","VL"
"fv600345","Axt@r Ons hort y d@ kAnOnsxot@ di wOrd@ Afx@vyrt dor @n reZimEnt parAs Y+t brAsxat","VL"
"fv600345","d@ kOlOn@ di drajt hir ny @t pAlE+z@plE+n Op","VL"
"fv600345","w@ zaG@n @n tOx en@xsIns x@spAn@ mAtIld@ bE+ @t f@rtrEk","VL"
"fv600345","dAt kAn ok nit And@rs","VL"
"fv600345","zE+ GlE+d@ hir ny nEt vorbE+ mE+ wY+v@nt nar @t EntuZAst@ pyblik","VL"
"fv600345","Ik xa ev@ ov@r nar kAtlen hY+z di Ob d@ huk vAn @t pAlE+z@plE+n stat hir @n  vErd@r En zE+ zit d@ limuzin@s ny aNkom@ kAtlen","VL"
"fv600345","jA ja mArk @ En @t wAs ir nEt ev@ spAn@nt wAnt hir Ob di huk pAserd@ @n @ part fAn di konINkl vAn dAt konINkl@k@ EskOrt@ En dAt wErt @m betj@ zenywAxt@x","VL"
"fv600345","Ik f@rOnd@rstEl vAn di kAnOnsxot@ En vAn @t @ jY+x@nd@ pyblik","VL"
"fv600345","ny pAsert hir @ prIns filip mEt sE+n mud@r konINIn pA+lA","VL"
"fv600345","E+ wOrt @ tuG@jY+xt dor d@ men@xt@","VL"
"fv600345","@ d@ prInsES@s En d@ prIns@ kom@ hir ok In @n vOlG@nd@ A+to","VL"
"fv600345","@ d@","VL"
