session_id,phonetic_transcription,language_classification
"fn000002","Albanij@wIlhYlpfAn@navoteG@sErfij@dAtfInd@w@trYxd@forpaGinavAnd@xEld@rlAnd@r","NL"
"fn000002","bE+x@vExt@mEtf@rzEtstrE+d@rsfAn@tkOsOvob@vrE+dINslef@rleG@rhEtysekahEb@sErfis@enhed@xIst@r@ogdul@InAlbanij@b@stokt","NL"
"fn000002","d@sErfij@sfyrd@mOrtirGrAnat@AfOp@nvirtAldOrp@InAlbanij@AldYst@Albanes@","NL"
"fn000002","d@AlbOnes@r@GerINheftt@navox@vraxtd@sErfis@ArtIliristElIN@ant@vAl@","NL"
"fn000002","wAtw@nOxmertrYxd@vorpaGinavAnd@xEld@rlAnd@r","NL"
"fn000002","dAtfIn@w@trYGdYzOd@vorpaGin@vAn@","NL"
"fn000002","EwognOxt@nE+meG@editsi","NL"
"fn000002","d@byrtwOrtstap@lGEkfAnkAfehEtswantj@","NL"
"fn000002","dAtfInd@w@dYstrYxOptivAnd@stAtseditsi","NL"
"fn000002","End@milEnijYmYnt","NL"
"fn000002","vE+fIsvE+fxYld@","NL"
"fn000002","Ond@rd@dit@lOnd@rd@Ond@rd@tit@lhEt@gwetgalaOvdEnsINvOnd@ErwEtstrE+d@demOnstratsisEnvrE+dAns@plats","NL"
"fn000002","nA+dAdIsd@xEld@rlAnd@r","NL"
"fn000002","EzE+nfAmOG@vorzev@nyrnOxmerkrAnt@Ind@briv@bYzb@lAnt","NL"
"fn000002","b@GIn@m@ttrA+","NL"
"fn000002","trA+st2ntm@nIst@rbOrsfAnhArt@InharwElhasthop@los@teG@d@r@klam@vor","NL"
"fn000002","d@fIntdAts@zek@rmutdorGanOmjON@r@vAnd@AlkOlt@hA+d@","NL"
"fn000002","hEtproblemvAnd@ov@rE+tIzdAtd@mId@l@Omr@klam@mag@rzIn@txArelt@krE+G@OnturE+k@ntsE+n","NL"
"fn000002","zElfs@nf@rbOtbitxensulas","NL"
"fn000002","r@klam@mak@rsplAk@hYnmEr@gnam@dAnOpAndr@Artik@l@zoAskledINEnfEstivAls","NL"
"fn000002","EntOxmuddorGan","NL"
"fn000002","id@renmutEdb@drE+fslev@imAntm@imAntmud@db@drE+fslef@mEtd@n2sOpt@matsxAp@l@k@v@rAntworl@khE+ttrYk@","NL"
"fn000002","d@Ams@dAms@pulitsiheftOp@heft@nstOpx@zEtOpIntErn@sOl@sitatsis@envAnd@plitsivAgbOnd@wIlmEtmerlonford@AGEnt@Ind@sted@d@moG@l@k@kOmsfAn@nY+zEnbyroforEksAGEnt@","NL"
"fn000002","d@krAntdENtdAtd@m@ljun@did@lats@jar@Ind@pulidzizE+Nx@stok@ErnittuhEb@x@lE+tdAt@rmeraGEnt@zE+n","NL"
"fn000002","dIkrAntplE+tvorsnEl@matreG@l@","NL"
"fn000002","vorANbE+wonINtuwE+zINford@AGEnt@Ind@xrot@sted@f@bet@rINvAn@timaGolobanb@G@lE+dINEn@nAtyl@kmutd@hAnthafINfAnd@op@mbAr@InOrd@blE+f@vOlG@st@krAnt","NL"
"fn000002","dAtAzYst@tel@GraftANxanw@tOslOtnOxnar@n@lats@krAnt@tAlG@mendAGblAt","NL"
"fn000002","d@krAntfIntnam@l@gdAdd@kOsovar@jY+stnitsE+nbE+@nzwE+G@vAnd@wap@ns","NL"
"fn000002","zElfsAlvEr@xtdAtOf@rsEn@nlAN@lAN@uf@nINInx@dYlt","NL"
"fn000002","d@vOlkskrAntfAndaxxeNkOm@tarzoAsx@wonl@kObd@mandAGmOrG@","NL"
"fn000002","swEtkOmt@ranEntwIst@t","NL"
"fn001035","trA+","NL"
"fn001035","hoftstYken","NL"
"fn001035","IkstOnt@rOpdAt@tkOntrAktOndbOnd@wErt","NL"
"fn001035","IkhErIn@rm@dAthartonbaz@xwAstunw@t@kam@rv@rlit@","NL"
"fn001035","kOmjE+mar@smezE+z@Enz@lE+d@m@mEtharhAntOpm@rYxnarhakam@rObd@erst@v@rdipIN","NL"
"fn001035","Ikx@horzamd@zOnd@rteG@spYt@r@Emproberd@t@rad@wAts@Y+tfurd@","NL"
"fn001035","z@sxofharstulOnd@r@dbyrovAndan","NL"
"fn001035","dAtwAsen","NL"
"fn001035","diklONkfelhoG@rEnsxErp@rdAnd@rItsfAnb@vorb@ltharspE+k@bruk","NL"
"fn001035","wAts@v@rvOlG@spAkt@kOnIgnithor@","NL"
"fn001035","dAtwIstIksek@r","NL"
"fn001035","nEtsoGutAls@tkrAs@vAn@npEnObdAtppir","NL"
"fn001035","harniw@vYlpEnnAtyrl@k","NL"
"fn001035","stsIst@z@wAxtnA+ev@","NL"
"fn001035","And@rsxat@thel@malv@kert","NL"
"fn001035","dIxtvor@tx@vAlIkInd@v@rlE+dINkwAmOmtOxt@kE+k@","NL"
"fn001035","mE+zot@lat@wAxt@EntAnzElfitsY+dbrud@tarzA+Ikx@lovIgnojtandENk@","NL"
"fn001035","tunIgmOxtkE+k@lAx@tfElpApirObm@Nknij@","NL"
"fn001035","ninastOntform@EnrE+kt@m@harvYlpEnan","NL"
"fn001035","rExtsOnd@ranmutj@tek@n@","NL"
"fn001035","z@nAm@tpApirY+dmEnhAnd@EnlAsforwAts@zojY+sthAtx@sxrev@","NL"
"fn001035","Amst@lfenzEsmartneG@tinAxt@ns2v@nt@x","NL"
"fn001035","Enhad@wInt@r","NL"
"fn001035","tehafAnh2st@","NL"
"fn001035","Ikars@ld@xens@kOnd@","NL"
"fv600345","dikOlOn@zEtsIxObdItE+G@st@oG@mblIkInb@weGIN","VL"
"fv600345","z@wOrtforAfx@Gandor@tkon@Nkl@kEskOrt@t@part@thOnd@rtAl@rY+t@rsdinyONG@verh@tpAlE+z@plE+nGanv@rlat@n","VL"
"fv600345","dez@kOlOn@Izd@E+G@l@k@konINkl@k@kOlOn@","VL"
"fv600345","darIzOnd@rmerd@Grot@limuzin@bE+warInd@konINheft@platsx@nom@nInz@nstatsiynifOrmvAnOp@rb@vElhEb@rvAnd@lAntmAxt","VL"
"fv600345","d@latst@Grot@limuzin@IzdidiG@tojtIsmEt@nGrot@Grot@blum@rY+k@r","VL"
"fv600345","EndAtIzd@limuzin@ward@vad@rvAnd@brY+tGrafpAtrikdyd@k@mdAkosIntshed@mOrG@warIndiheftplatsx@nom@nmEtnAtyrl@gd@brY+tprInsEsmAtIld@","VL"
"fv600345","wAntokmAtIld@IssIntsnYlyrsIntsmId@rnAxttit@lvAnprInsEsx@kreG@nEnzE+v@rtrEk@nnyvAnan@tpAlE+s","VL"
"fv600345","Axt@rOnshortyd@kAnOnsxot@diwOrd@Afx@vyrtdor@nreZimEntparAsY+tbrAsxat","VL"
"fv600345","d@kOlOn@didrajthirny@tpAlE+z@plE+nOp","VL"
"fv600345","w@zaG@n@ntOxen@xsInsx@spAn@mAtIld@bE+@tf@rtrEk","VL"
"fv600345","dAtkAnoknitAnd@rs","VL"
"fv600345","zE+GlE+d@hirnynEtvorbE+mE+wY+v@ntnar@tEntuZAst@pyblik","VL"
"fv600345","Ikxaev@ov@rnarkAtlenhY+zdiObd@hukvAn@tpAlE+z@plE+nstathir@nvErd@rEnzE+zitd@limuzin@snyaNkom@kAtlen","VL"
"fv600345","jAjamArk@En@twAsirnEtev@spAn@ntwAnthirObdihukpAserd@@n@partfAndikonINklvAndAtkonINkl@k@EskOrt@EndAtwErt@mbetj@zenywAxt@x","VL"
"fv600345","Ikf@rOnd@rstElvAndikAnOnsxot@EnvAn@t@jY+x@nd@pyblik","VL"
"fv600345","nypAserthir@prInsfilipmEtsE+nmud@rkonINInpA+lA","VL"
"fv600345","E+wOrt@tuG@jY+xtdord@men@xt@","VL"
"fv600345","@d@prInsES@sEnd@prIns@kom@hirokIn@nvOlG@nd@A+to","VL"
"fv600345","@d@","VL"
"fv600345","tIswEl@nExtmojsxA+spEldi@stutfAn@pard@nmEtdirY+t@rz@rObdirE+kswAxt@rs","VL"
"fv600345","d@bered@ber@mYts@diwElnod@xsE+nInd@kA+ny","VL"
"fv600345","z@wOrt@naG@lop@dord@men@xt@","VL"
"fv600345","@IkhEpmar@nGlImpfAnharkYn@OpfAN@marIkhAthardarnEtAlGutkYn@zinOp@tsxErmdAthirOpx@stEltstatOp@tpAlE+z@plE+n","VL"
"fv600345","End@stut@rE+thirnOxfErd@rmarIgdENgdAtOnd@rtYs@majgd@mYld@rd@db@GInvAndez@pard@EskOrt@AlzitaNkom@","VL"
"fv600345","dAt@hor@w@dAnmEten","VL"
"fv600346","nenkAtlenzovErIstnOxnit","VL"
